PLUAD_name;DEP_num;Road_num;NameEn;NameRus;NameKg;Length;NumberOfBridge;type;
RD1;1;1;"Bishkek-""Manas"" airport";"Бишкек - Аэропорт ""Манас""";"Бишкек - ""Манас Аэропорту""";36,5;2;int;
RD1;1;1;Bishkek-Kuntuu-Shopokov;Бишкек - Кунтуу - Шопоков;Бишкек - Кунтуу - Шопоков;27;3;nat;
RD1;1;7;Sokuluk-Kamyshanovka ;Сокулук - Камышановка;Сокулук - Камышановка;39;1;nat;
RD1;1;8;Romanovka-50 let Kamyshanovka;Романовка - 50 лет Камышановка;Романовка - 50 лет Камышановка;34;1;nat;
RD1;1;1;Kirkomstrom-Jal-Alamedin ;Киркомстром - Джал - Аламедин;Киркомстром - Жал - Аламедин;14;;loc;
RD1;1;2;Jal-Orok ;Джал - Орок;Жал - Орок;3;;loc;
RD1;1;3;Kara Sakal-Belek ;Кара Сакал - Белек;Кара Сакал - Белек;11;;loc;
RD1;1;4;Romanovka-Zhany Zher-23km D.Shorgo ;Романовка - Джаны Жер - 23 км Д.Шорго;Романовка - Джаны Жер - 23 км Д.Шорго;8;;loc;
RD1;1;5;Tokbaev-Baigeldi with access road to Kuntuu v. ;Токбаев - Байгельди с подъездной дорогой к селу Кунтуу;Токбаев - Байкелди Кунтуу айылына кирме жолу менен;12;;loc;
RD1;1;6;Sokuluk-Panfilov-Chatkul ;Сокулук - Панфилов - Чаткуль;Сокулук - Панфилов - Чаткул;16;;loc;
RD1;1;7;Sokuluk-Aral ;Сокулук - Арал;Сокулук - Арал;5;;loc;
RD1;1;8;Sokuluk-Zhalamysh-MTF ;Сокулук - Жаламыш - МТФ;Сокулук - Жаламыш - МТФ;40,7;;loc;
RD1;1;9;Karasakal-Tokbaev with access road to Kyzyltuu v.;Карасакал - Токбаев с подъездной дорогой к селу Кызылтуу;Карасакал - Токбаев Кызылтуу айылына кирме жолу менен;14;;loc;
RD1;1;53;Tyuz-Sokuluk-Vodohranilishe;Тюз - Сокулук - Водохранилище;Т?з - Сокулук - Водохранилище;8;;loc;
RD1;1;11;Baly-stan kolhoza ;Балы - стан колхоза;Балы - стан колхоза;19;;loc;
RD1;1;12;Access road to Shalta v.;Подъездная дорога к селу Шалта;Шалта айылына кирме жолу;2;;loc;
RD1;1;14;Baitik-Archaly-Jal ;Байтик - Арчалы - Джал;Байтик - Арчалы - Жал;9;;loc;
RD1;1;15;Baigeldi-Jal-Orok ;Байгельди - Джал - Орок;Байкелди - Жал - Орок;2,8;;loc;
RD1;1;2;"Chonaryk-""Alaarcha"" National Park";"ЧонАрык - Национальный парк ""Ала-Арча""";"Чон-Арык - Национальный парк ""Ала-Арча""";29,4;1;nat;
RD1;25;3;Alamedin Arashan - Koi Tash ;Аламедин Арашан - Койташ;Аламедин Арашан - Койташ;19,4;2;nat;
RD1;25;4;Bishkek- Koi Tash -Issyk Ata ;Бишкек - Койташ - Ыссык Ата;Бишкек - Койташ - Ыссык Ата;43,6;7;nat;
RD1;25;16;Chong Kurchak-Ala Archa ;Чонкурчак - АлаАрча;Чонкурчак - АлаАрча;21;;loc;
RD1;25;17;Kashka Suu - Dom Otdyha;Кашка Суу - Дом отдыха;Кашка Суу - Дом отдыха;3;;loc;
RD1;25;18;Arashan-Chon Kurchak ;Арашан - Чонкурчак;Арашан - Чонкурчак;22;;loc;
RD1;25;20;Lebedinovka-Kok Jar ;Лебединовка - Кок Жар;Лебединовка - Кок Жар;10,3;;loc;
RD1;25;21;Koi Tash- Uzun Kyr ;Кой Таш - Узун Кыр;Кой Таш - Узун Кыр;12;;loc;
RD1;25;22;Podkhoz- Dom Otdyha-Chon Tash ;Подхоз - Дом отдыха - Чон Таш;Подхоз - Дом отдыха - Чон Таш;5;;loc;
RD1;25;23;Archaly-Shorolo ;Арчалы - Шороло;Арчалы - Шороло;10;;loc;
RD1;25;24;Orto Sai-Kok Jar ;Орто Сай - Кок Жар;Орто Сай - Кок Жар;5;;loc;
RD1;25;25;Chong-Arik-Pionerlager ;Чон Арык - Пионерлагерь;Чон Арык - Пионерлагерь;3;;loc;
RD1;25;26;Kok Jar-Ala Too ;Кок Жар - Ала Тоо;Кок Жар - Ала Тоо;7,5;;loc;
RD1;25;27;Alplager-Ala-Archa pass.;Альплагерь - перевал Ала Арча;Альплагерь - перевал Ала Арча;12;;loc;
RD1;25;28;Kara Dzhigach-Kyzyl Birlik ;Кара Жигач - Кызыл Бирлик;Кара Жигач - Кызыл Бирлик;10;;loc;
RD1;25;32;Vostok-Mazar Suu ;Восток - Мазар Суу;Восток - Мазар Суу;1,4;;loc;
RD1;25;33;Arashan-Bosboltok ;Арашан - Босболток;Арашан - Босболток;2;;loc;
RD1;25;34;Kara Dzhigach-Besh Kungoi ;Кара Жыгач - Беш Кунгей;Кара Жыгач - Беш Кунгей;6,1;;loc;
RD1;25;35;Uch-Emchek Tash-Bashat ;Уч Эмчек - Таш Башат;Уч Эмчек - Таш Башат;4;;loc;
RD1;25;36;Almaluu-upper Ichke Suu;Алмалуу - верхний Ичке Суу;Алмалуу - верхний Ичке Суу;4;;loc;
RD1;28;52;East Zhany Zher-50 let Kamyshanovka;Восточный Джаны Жер - 50 лет Камышановка;Восточный Джаны Жер - 50 лет Камышановка;13;;loc;
RD1;28;5;Belovodskoe-Saharnyi Zavod ;Беловоское - Сахарный Завод;Беловоское - Сахарный Завод;4;0;nat;
RD1;28;6;Belovodskoe-Tyulek ;Беловодское - Тюлек;Беловодское - Тюлек;45;3;nat;
RD1;28;9;Petrovka-Neftebaza;Петровка - Нефтебаза;Петровка - Нефтебаза;2,6;0;nat;
RD1;28;10;Tyulek-Ak Kashat ;Тюлек - Ак Кашат;Тюлек - Ак Кашат;11,3;0;nat;
RD1;28;12;Belovodsk-Temen Suu ;Беоводское - Темен Суу;Беоводское - Темен Суу;30;3;nat;
RD1;28;10;Vinsovhoz-Asylbash ;Винсовхоз - Асылбаш;Винсовхоз - Асылбаш;16;;loc;
RD1;28;13;Tash Bulak-Boruluu ;Таш Булак - Борулуу;Таш Булак - Борулуу;3;;loc;
RD1;28;37;Belovodskoe-Oktyabrskoe ;Беловодское - Октябрьское;Беловодское - Октябрьское;3,8;;loc;
RD1;28;38;Belovodsk-Kalinin ;Беловодское - Калинин;Беловодское - Калинин;8,7;;loc;
RD1;28;39;Petrovka-Moltavar ;Петровка - Молтавар;Петровка - Молтавар;6,2;;loc;
RD1;28;40;Petrovka-Besh Terek ;Петровка - Беш Терек;Петровка - Беш Терек;21,4;;loc;
RD1;28;41;Spartak-Besh Terek ;Спартак - Беш Терек;Спартак - Беш Терек;15;;loc;
RD1;28;42;Access road to v/ch;Подъездная дорога к v/ch;Подъездная дорога к v/ch;6,2;;loc;
RD1;28;43;Spartak-Kr.Pahar;Спартак - Кр. Пахар;Спартак - Кр. Пахар;9;;loc;
RD1;28;44;Sretenka-Kiz Molo ;Сретенка - Кыз Моло;Сретенка - Кыз Моло;12,9;;loc;
RD1;28;45;Sretenka-Kyrgyzstan ;Сретенка - Кыргызстан;Сретенка - Кыргызстан;16;;loc;
RD1;28;46;Sadovaya MTF k-z Drujba;Садовое - МТФ - Колхоз Дружба;Садовое - МТФ - Колхоз Дружба;3,5;;loc;
RD1;28;47;Alexandrovka-Kyrgyzstan ;Александровка - Кыргызстан;Александровка - Кыргызстан;6;;loc;
RD1;28;48;Alexandrovka-Krupskaya ;Александровка - Крупская;Александровка - Крупская;7,1;;loc;
RD1;28;49;Belovodsk-Pretechenka ;Беловодское - Претеченка;Беловодское - Претеченка;14,5;;loc;
RD1;28;50;Access road to ABTs;Подъездные дорог к ABT;Подъездные дорог к ABT;2;;loc;
RD1;28;51;Temen Suu-Ak Bashat ;Темен Суу - Ак Башат;Темен Суу - Ак Башат;4;;loc;
RD1;28;54;Sokuluk-Belogorka;Сокулук - Белогорка;Сокулук - Белогорка;49;;loc;
RD1;28;11;Poltavka-Besh Terek ;Полтавка - Беш Терек;Полтавка - Беш Терек;26;0;nat;
RD1;40;13;Petrovka-Narzan sources;Петровка - Нарзан ;Петровка - Нарзан ;52;13;nat;
RD1;40;2;Bishkek-Chaldovar 60,2-67,0 km;Бишкек - Чалдовар 60.2 - 67.0  км;Бишкек - Чалдовар 60.2 - 67.0  км;6,8;1;int;
RD1;40;14;Sosnovka-Keperaryk ;Сосновка - Кеперанык;Сосновка - Кеперанык;8;1;nat;
RD1;40;15;Kalininskoe-Stepnoe ;Калининское - Степное;Калининское - Степное;44;3;nat;
RD1;40;55;Kara Balta-Monoldor ;Кара Балта - Монолдор;Кара Балта - Монолдор;18;;loc;
RD1;40;56;Sosnovka-Sarybulak ;Сосновка Сарыбулак;Сосновка Сарыбулак;6;;loc;
RD1;40;57;Uzen-Sarykoo ;Узен - Сакыроо;Узен - Сакыроо;23;;loc;
RD1;40;58;Novonikolaevka-Karasu  ;тНовониколаевка - Карасуу;тНовониколаевка - Карасуу;29;;loc;
RD1;40;59;Jeken-Eriktuu-Iyrisuu ;Жекен - Эриктуу - Лыриссуу;Жекен - Эриктуу - Лыриссуу;11;;loc;
RD1;40;60;Kalininskoe-Zhonaryk ;Калиникское - Жонарык;Калиникское - Жонарык;14;;loc;
RD1;40;61;Voznesenovka-Karatyube ;Вознесеновка - Каратюбе;Вознесеновка - Каратюбе;24;;loc;
RD1;40;62;Stavropolovka-Vodohranilishe;Ставрополка - Водохранилище;Ставрополка - Водохранилище;4;;loc;
RD1;40;63;Kara Balta-Indom;Кара Балта - Индом;Кара Балта - Индом;7;;loc;
RD1;40;64;Petropavlovka-Kyzyldyikan ;Петропавловка - Кызыл Дыйкан;Петропавловка - Кызыл Дыйкан;22;;loc;
RD1;40;65;Poltavka-Ortosuu ;Полтавка - Ортосуу;Полтавка - Ортосуу;6;;loc;
RD1;40;66;Novonikolaevka-SPTU 35 ;Новониколаевка - СПТУ 35;Новониколаевка - СПТУ 36;3;;loc;
RD1;40;67;Novonikolaevka-Akbashat ;Новониколаевка - Акбашат;Новониколаевка - Акбашат;5;;loc;
RD1;40;68;Comintern-Novyi Put;Коминтерн - Новый Путь;Коминтерн - Новый Путь;15;;loc;
RD1;40;69;Petropavlovka-Aerordrom ;Петропавловка - Аэродром;Петропавловка - Аэродром;10;;loc;
RD1;40;70;Melioratsiya-Toktosh ;Меиорация - Токтош;Меиорация - Токтош;8;;loc;
RD1;40;71;Alexeevka-Bolshevik ;Алексеевка - Большевик;Алексеевка - Большевик;11;;loc;
RD1;40;72;Akbashat-Aral ;Акбашат - Арал;Акбашат - Арал;2;;loc;
RD1;40;73;Akbashat-MTF;Акбашат - МТФ;Акбашат - МТФ;2;;loc;
RD1;42;2;Bishkek-Chaldovar 67,0-91,6 km;Бишкек - Чалдовар 67,0-91,6 км;Бишкек - Чалдовар 67,0-91,6 км;24,6;1;int;
RD1;42;16;Panfilovka-m/s Chaldovar;Панфиловка - м/с Чалдовар;Панфиловка - м/с Чалдовар;28;1;nat;
RD1;42;74;Panfilovka-Kaiyndy ;Панфиловка - Кайынды;Панфиловка - Кайынды;8;;loc;
RD1;42;75;Panfilovka-Ortoaryk ;Панфиловка - Ортоарык;Панфиловка - Ортоарык;20;;loc;
RD1;42;76;Efironos-Telman ;Эфиронос - Тельман;Эфиронос - Тельман;14;;loc;
RD1;42;77;Chaldovar-Rovnoe-Kirov ;Чалдовар - Ровное - Киров;Чалдовар - Ровное - Киров;20;;loc;
RD1;42;78;Chaldovar-F2-Rovnoe;Чалдовар - F2 - Ровное;Чалдовар - F2 - Ровное;15;;loc;
RD1;42;79;Chaldovar-Cholokaryk ;Чалдовар - Чолокарык;Чалдовар - Чолокарык;8,1;;loc;
RD1;42;80;Chaldovar-Kenzhebai ;Чалдовар - Кенжебай;Чалдовар - Кенжебай;11;;loc;
RD1;42;81;Chaldovar-Toka ;Чалдовар - Тока;Чалдовар - Тока;25;;loc;
RD1;42;82;Partsezd-Chorgolo ;Партсъезд - Чорголо;Партсъезд - Чорголо;9;;loc;
RD1;42;83;Kurpuldek-Aerodrome ;Курпулдек - Аэродром;Курпулдек - Аэродром;1;;loc;
RD1;42;84;Kaptalaryk-Kumaryk ;Капталарык - Кумарык;Капталарык - Кумарык;12;;loc;
RD1;42;85;Erkinsay-Kumaryk ;Эркинсай - Кумарык;Эркинсай - Кумарык;15;;loc;
RD1;42;86;Voznesenovka-Erkinsay;Вознесеновка - Эркинсай;Вознесеновка - Эркинсай;28;;loc;
RD1;43;17;Kant-ABZ;Кант - АБЗ;Кант - АБЗ;12,2;5;nat;
RD1;43;87;Lower Nooruz-Zherkazar- GES5 with access road to Druzhba v. ;Нижний Нооруз - Жерказар - ГЭС5 с подъездной дорогой к селу Дружба;Нижний Нооруз - Жерказар - ГЭС5 с подъездной дорогой к селу Дружба;10,4;;loc;
RD1;43;88;Dmitrievka-Birdik-Hunchi- Milyanfan ;Дмитриевка - Бирдик - Хунчи - Милянфан;Дмитриевка - Бирдик - Хунчи - Милянфан;17;;loc;
RD1;43;89;Kant-Ak Kuduk ;Кант - Ак Кудук;Кант - Ак Кудук;9,6;;loc;
RD1;43;90;Tuz-Zharbashy- Internatsionalnoe;Туз - Жарбашы - Интернациональное;Туз - Жарбашы - Интернациональное;16,4;;loc;
RD1;43;91;Kant-Zheek- Dmitrievka ;Кант - Жээк - Дмитриевка;Кант - Жээк - Дмитриевка;6,8;;loc;
RD1;43;92;Kant-Karl Marks- Internatsionalnoe;Кант - Карл Маркс - Интернациональное;Кант - Карл Маркс - Интернациональное;18,4;;loc;
RD1;43;93;Novopokrovka- Sary Jon ;Новопокровка - Сары Жон;Новопокровка - Сары Жон;12;;loc;
RD1;43;94;Novopokrovka- Aerodrome ;Новопокровка - Аэродром;Новопокровка - Аэродром;4,9;;loc;
RD1;43;95;Novopokrovka-Tuz;Новопокровка - Туз;Новопокровка - Туз;15,2;;loc;
RD1;43;96;Chondaly-Pionerlager-Dom Invalidov;Чондалы - Пионерлагерь - Дом инвалидов;Чондалы - Пионерлагерь - Дом инвалидов;6,6;;loc;
RD1;43;97;Chondaly-Leninskoe;Чондалы - Ленинское;Чондалы - Ленинское;13,7;;loc;
RD1;43;98;Dmitrievka-Birdik ;Дмитриевка - Бирдик;Дмитриевка - Бирдик;10,2;;loc;
RD1;43;99;Kant-Gornaya Serafimovka with access road to Dom Invalidov ;Кант - Горная Серафимовка с подъездной дорогой к Дому инвалидов;Кант - Горная Серафимовка с подъездной дорогой к Дому инвалидов;24;;loc;
RD1;43;100;Zheek-Gagarin ;Жээн - Гагарин;Жээн - Гагарин;5;;loc;
RD1;43;101;GES5-Kant- Milyanfan;ГЭС5 - Кант - Милянфан;ГЭС5 - Кант - Милянфан;23,5;;loc;
RD1;954;3;Bishkek -Naryn-Torugart 32,4-82,0 km;Бишкек - Нарын - Торугарт 32,4-82,0 км;Бишкек - Нарын - Торугарт 32,4-82,0 км;48,7;6;int;
RD1;954;18;Tokmok-Donaryk-Rot Front-Ivanovka with turning to Yurevka v. M-005 ;Токмок - Донарык - Рот Фронт - Ивановка с поворотом к селу Юрьевка М-005;Токмок - Донарык - Рот Фронт - Ивановка с поворотом к селу Юрьевка М-006;49;10;nat;
RD1;954;19;Kegety-East Karakol M-006 ;Кегети - Восточный Каракол М-006;Кегети - Восточный Каракол М-007;43;5;nat;
RD1;954;20;Menetkech-Tower Burana-Donaryk;Менеткеч - Башня Бурана - Донарык;Менеткеч - Башня Бурана - Донарык;9;1;nat;
RD1;954;102;ABZ-Pionerlager;АБЗ - Пионерлагерь;АБЗ - Пионерлагерь;3;;loc;
RD1;954;103;Tokmok-Progress-Kairma;Токмок - Прогресс - Каирма;Токмок - Прогресс - Каирма;15;;loc;
